	HEX_600	01_HEX_weighted_average_distance	01_HEX_weighted_mean_home_distance	01_HEX_weighted_max_home_distance	01_HEX_weighted_median_home_distance	01_HEX_weighted_radius_of_gyration	01_HEX_weighted_num_reporting_2015	01_HEX_weighted_HEX_coverage	01_HEX_weighted_subject_coverage	01_HEX_weighted_subject_hhi	01_HEX_total_reporting	01_HEX_total_user	user_type	reporting_level
32	61	284.1176466908	674.6417467294	932.6286332224	700.6588378324	84.8697072951	2.862745098	1.3137254902	1.2745098039	0.8317413112	2601	1938	1	1
33	62	900.0632374126	680.5507469605	1769.0904002673	574.8076153542	206.6623215594	7.2820512821	4.1025641026	1.8717948718	0.6745076761	1521	1014	1	1
34	64	576.1182921065	1017.7871472841	1379.5250437785	929.5894774663	0.0051731842	2.1739130435	1.0869565217	1.2608695652	0.8792270531	529	345	1	1
35	65	213.4532598736	412.4836752938	1024.8254847737	366.4148200233	114.073795858	20.1618122977	2.7475728155	2.1974110032	0.7116956113	95481	51912	1	1
36	66	154.681322806	239.2901892974	570.6410537285	196.1645222126	50.6637551043	8.7518796992	1.6390977444	1.7969924812	0.7665366888	17689	10773	1	1
37	72	0	37.2836834327	37.2836834327	37.2836834327	0	1.2222222222	1	1	1	81	72	1	1
38	73	191.7996695734	391.3232750154	661.6079443241	374.4403835945	63.5244643388	4.1111111111	2.9166666667	1.2777777778	0.9196838131	1296	1008	1	1
39	74	210.4447021707	1277.0393970947	1435.4809662586	1309.9434580366	94.8033436905	3.85	1.45	1.4	0.8934375	400	240	1	1
40	75	0	2382.8065206949	2382.8065206949	2382.8065206949	0	1.25	1	1	0.8125	16	16	1	1
41	76	0	1968.112596366	1968.112596366	1968.112596366	0	1	1	1	1	1	1	1	1
42	77	2246.3314163	2767.0127128998	7639.0492880926	2246.3362295434	782.3272905507	27.5714285714	13.2857142857	2.5714285714	0.6149584488	49	21	1	1
43	78	243.2246953006	395.5098698449	673.2562541248	368.9082392558	37.7861940715	4.3150684932	1.602739726	1.2739726027	0.860717968	5329	3650	1	1
44	79	617.2396777111	930.0639748092	1442.5687222103	1012.6580335522	119.5109912654	4.1621621622	1.8378378378	1.5878378378	0.7668492974	21904	14060	1	1
45	80	299.4945194426	302.1749219277	564.7925578868	264.3420755602	57.3359675976	3.5551724138	1.524137931	1.4879310345	0.8052835646	336400	226200	1	1
46	81	0	141.2544704823	141.2544704823	141.2544704823	0	1	1	1	1	9	9	1	1
47	82	1853.1124332009	1579.3290921999	3033.8255248695	1439.3332788903	418.8873620363	8.9444444444	6.8333333333	2.0555555556	0.686799039	324	288	1	1
48	83	236.22183748	280.2207822605	548.2517785981	242.4691935041	58.1793891073	11.4195121951	1.8975609756	2.1317073171	0.7356598083	42025	25010	1	1
49	84	158.6511894616	182.8097062615	398.5705626295	137.9004016898	59.5264145491	8.1263157895	1.8421052632	1.7368421053	0.81634042	9025	6175	1	1
