Index	HEX_600	06_HEX_weighted_average_distance	06_HEX_weighted_mean_home_distance	06_HEX_weighted_max_home_distance	06_HEX_weighted_median_home_distance	06_HEX_weighted_radius_of_gyration	06_HEX_weighted_num_reporting_2015	06_HEX_weighted_HEX_coverage	06_HEX_weighted_subject_coverage	06_HEX_weighted_subject_hhi	06_HEX_total_reporting	06_HEX_total_user	user_type	reporting_level
77	133	4293.878288657	3281.4447034759	8847.5766144077	2877.0177648797	1637.509140857	463.7954545455	136.6818181818	5.4545454545	0.3817969051	1936	792	3	2
78	134	2729.5097646335	2154.5501094857	5861.0345958983	1914.9902712964	990.1349266497	188.0555555556	73.5555555556	4.1666666667	0.4125389426	324	180	3	2
79	135	286.6090842724	293.3473384243	871.9270816178	289.4197746744	173.6023923022	6	2.25	2.25	0.5288888889	16	8	3	2
80	146	26.2691046328	74.5547637608	90.174731011	73.0498740589	0.6684771073	4.7368421053	1.1052631579	1.5263157895	0.8315789474	361	95	3	2
81	147	1295.2487445955	1451.5676447122	3241.864899926	1230.1419548254	584.8648916598	46.4545454545	16.0909090909	2.1212121212	0.7113184221	1089	561	3	2
82	148	1311.2834209917	1400.9086520867	3080.1255229962	1215.2710738661	541.2202041248	57.8	18.8888888889	2.6666666667	0.6085620628	2025	810	3	2
83	149	980.3172639852	930.3460537299	2803.6810960214	773.9019742897	534.0532123491	62.7820512821	19.5128205128	2.1666666667	0.7629875931	6084	1950	3	2
84	150	1000.6903407731	1148.4264462979	2549.4054347536	1148.9981152622	395.0318120914	68.88	21.52	2.8	0.6100406105	5625	1800	3	2
85	151	1460.3506310964	1381.1660585774	3128.6546755615	1289.2685629224	585.8473543647	150.4285714286	42.1904761905	3.0952380952	0.6466116839	441	231	3	2
86	152	1199.7379195745	991.5784248017	2762.9891031535	745.3419129043	488.1351372624	50.0161290323	18.4193548387	2.7419354839	0.5926074429	3844	1550	3	2
87	153	2053.8389826984	1855.4008856947	4171.144464295	1677.62419712	640.0909011494	83.8387096774	29	3.1935483871	0.4883963405	961	558	3	2
88	154	3764.1412168107	2559.1141462418	5496.8171181761	2893.696004244	362.2270092706	4	2.25	1.75	0.65625	16	12	3	2
89	155	4553.9718815035	3357.7863129422	8660.3847268449	3044.2307167972	1719.3830262994	505	142	5.5	0.5062501131	4	4	3	2
90	156	3617.8718534815	5380.6875612182	8178.4644292275	6866.3933958501	375.7944155156	172.8333333333	48.8333333333	3.8333333333	0.5422399292	36	12	3	2
91	157	744.6463253871	732.648230233	1644.2555359355	627.078869507	279.4948415966	42.0333333333	14.5666666667	2.1333333333	0.708299902	900	420	3	2
92	158	3131.8321316108	2349.22032237	6555.984093519	2112.2431751926	1290.5850851198	428.6153846154	128.0769230769	5.2307692308	0.3853407057	169	65	3	2
93	159	946.6670036922	1092.7787297857	2307.4971206531	992.3851742931	304.2376364449	74.0857142857	21.6857142857	2.8	0.6047112001	1225	490	3	2
94	160	1256.5735625314	1178.0154471811	2910.6407389983	1046.2703371087	481.1800714683	108.3021978022	32.543956044	2.8681318681	0.6347379343	33124	10374	3	2
95	161	1355.0332997274	1396.0446943338	3314.0602668769	1269.4513026701	531.1882370806	92.186440678	23.5084745763	4.1610169492	0.5203641333	13924	4130	3	2
96	162	2125.6360749174	1805.4860197808	4590.7051010963	1597.7681124111	806.6383655501	187.8909090909	55.8454545455	3.6272727273	0.5505364157	12100	4950	3	2
97	163	1167.246090871	1050.1361517042	2488.3644213201	924.1703719101	441.2696558189	102.0731707317	28.9817073171	2.737804878	0.5964561736	26896	6888	3	2
98	164	2270.4909397955	1717.6565883014	4688.6811292675	1431.515041389	834.1004945798	160.6707317073	49.1829268293	3.5853658537	0.5523464018	6724	2542	3	2
99	165	2468.3004053775	1949.7707046154	4801.9587375656	1769.0961026987	846.6953557416	166.5517241379	52.8275862069	3.724137931	0.5035715867	841	406	3	2
100	166	1984.9777686443	3070.0959549569	5656.1183907809	2888.5811976461	732.5031960112	144.12	48.12	2.88	0.6775571313	625	350	3	2
101	167	2893.0949332114	2492.6186585719	5848.3710509211	2221.7841690494	1058.2225227293	335.3333333333	93.3333333333	4.6666666667	0.2998965251	9	9	3	2
102	168	4646.7733793664	3739.1292290606	9745.3144369192	3447.3046504398	1664.6555784101	283.3333333333	115.5	6	0.3305671581	36	30	3	2
103	177	1075.8959823406	676.3585202872	5342.8369394227	290.9541374973	1241.9853874781	41.34	9.3	2.96	0.6271793183	2500	500	3	2
104	178	1402.4461684488	1223.9534174005	2982.6858743203	1437.6389546964	389.4474923424	36.8709677419	20.1612903226	2.5161290323	0.6899930059	961	403	3	2
105	179	923.8449057264	821.1224341995	2673.1396196779	641.498253018	528.495970233	18.7755102041	9.1836734694	2.2857142857	0.6699289627	2401	931	3	2
106	180	510.5107260028	545.1059404443	1117.421233781	609.2960023422	136.3963141068	15.978021978	6.6043956044	2.010989011	0.7167837899	8281	2275	3	2
107	181	1912.1326084749	1765.0513644205	4013.5196076137	1715.6719078865	684.181231196	102.46875	38.96875	2.59375	0.6255375817	1024	384	3	2
108	182	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	1	1	3	2
109	183	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	3	2
110	184	2836.220406472	2653.8564455402	6415.5527083	2419.6600616353	1091.8836650159	167.96	47.32	3.24	0.5500095003	625	350	3	2
111	185	1354.8220574707	1415.9782392843	2874.2182383356	1361.2008986644	472.2245278153	47.2222222222	15.7037037037	2.7037037037	0.5801409671	729	351	3	2
112	186	1410.0799475432	1150.8342222816	2880.7768183728	945.7405829451	526.962300482	29.0571428571	16.3428571429	2.3142857143	0.6535189476	1225	665	3	2
113	187	1185.4582750704	1023.7668308372	2476.6606692964	907.3765030384	409.2755044728	85.4	28.0952380952	2.3333333333	0.7061638655	11025	4200	3	2
114	188	430.4908425743	363.9429511061	1120.6786853451	281.9234965267	208.465832373	31.3793103448	8.5440613027	2.7318007663	0.5921337124	68121	17748	3	2
115	189	798.0426542036	824.8493798652	2007.8477770457	605.8680329261	273.1907393447	47.6153846154	10.3603238866	2.5101214575	0.6279077261	61009	16549	3	2
116	190	775.3773226754	782.6698319843	2012.9215697797	629.2500185587	325.2350432732	58.6470588235	15.512605042	2.2100840336	0.6987185902	14161	4165	3	2
117	191	4160.6181568325	2933.4001652114	8976.8602063657	2365.9285270238	1673.0115548966	528.25	154	5.375	0.4739771632	64	40	3	2
118	192	1562.6299602939	1675.7131977058	3480.8581798373	1644.9532937513	523.8736449641	67.5714285714	25.3333333333	2.4761904762	0.6159005422	1764	756	3	2
119	193	2877.6688104459	2546.3943453726	6725.8000016928	2324.7099598333	1111.5044358083	257.75	75	3.75	0.3718384936	16	12	3	2
120	194	4559.2859481247	3724.9952145815	9317.4782659578	2542.8507146535	1244.9258530216	18	11	3	0.614988499	9	9	3	2
121	195	4832.2151838474	3980.3054808308	11238.2184864242	3515.12405338	1920.9911158468	382.25	143.5	5.75	0.450512108	64	32	3	2
122	202	4754.9280164123	6371.9872680365	7781.7106931405	7781.7106931405	1486.2053094941	14	5	3	0.5	1	1	3	2
123	203	1501.7485349075	1239.8410198488	3571.0177169254	1061.221485568	640.7885878256	47.380952381	27.0952380952	3.5238095238	0.5050266152	441	231	3	2
124	204	1680.6777066227	2416.4399402206	4802.4267532636	2089.7689137169	646.9831752207	106.28125	29.71875	3.4583333333	0.5456540845	9216	2400	3	2
125	205	1840.0166453981	1266.0526373974	3547.0788681038	968.7749298495	566.6911869074	252.25	69.75	2.75	0.8211723938	16	12	3	2
126	206	2083.7681051321	2034.1357432904	4448.1397871048	2470.8195739568	723.0787096887	10	7	3	0.54	1	1	3	2
127	207	3012.8300084897	2313.4442803955	6788.2755578199	1795.0444172157	1078.32933529	146	48.5142857143	3.6571428571	0.4868582682	1225	700	3	2
128	208	2738.5578315267	2028.8809866164	5689.8314912951	1686.9920132728	1018.9694336079	255.3076923077	76.7692307692	4.0769230769	0.4589318493	676	312	3	2
129	209	1825.5788470412	1425.4014003111	3690.6964575329	1170.442475795	701.3045861929	78.35	30.2	3.15	0.570424496	400	240	3	2
130	210	2830.3042284225	2443.1675293992	5507.7152909203	2361.8805453726	1004.4767961967	215.9756097561	64.9024390244	3.6341463415	0.5205650839	1681	820	3	2
131	211	1221.3408679416	1038.5045484524	2555.1827729548	881.5543987592	469.343529511	61.9508196721	22.6393442623	2.7868852459	0.5535711036	14884	5368	3	2
132	212	980.4976673615	905.2995491946	2301.8302443983	768.8002885886	382.6297919746	67.8617511521	17.1198156682	2.6912442396	0.5723083029	47089	14105	3	2
133	213	1402.1202715764	1396.4743388399	3054.1703424547	1287.2109862706	560.3351277506	113.1052631579	32.0789473684	2.5	0.6898373743	1444	684	3	2
134	214	4785.4446249447	3878.0771682582	9971.7798996056	3486.7874223561	1877.3074749448	18	17	4.5	0.4933949285	4	4	3	2
135	215	1759.4080135157	2102.5403251712	3993.5429316653	2104.5575436924	647.5098586265	145.3	43.2666666667	2.9333333333	0.6455080319	900	450	3	2
