Index	HEX_600	02_HEX_weighted_average_distance	02_HEX_weighted_mean_home_distance	02_HEX_weighted_max_home_distance	02_HEX_weighted_median_home_distance	02_HEX_weighted_radius_of_gyration	02_HEX_weighted_num_reporting_2015	02_HEX_weighted_HEX_coverage	02_HEX_weighted_subject_coverage	02_HEX_weighted_subject_hhi	02_HEX_total_reporting	02_HEX_total_user	user_type	reporting_level
0	8	2641.820160974	2449.6974652711	6446.1694100761	2216.9508445985	1013.425494969	29	23.2857142857	3.1428571429	0.6870781544	49	28	2	1
1	9	166.6819314381	404.4524680004	514.6821331557	391.9728319735	23.7505939393	1.8235294118	1.068627451	1.1862745098	0.8771786492	10404	7752	2	1
2	10	287.6614099718	257.5782153472	571.1128273883	208.70038488	30.8916415974	2.3950617284	1.1604938272	1.2098765432	0.8952161194	6561	4536	2	1
3	11	98.4081486906	302.5290589772	359.9702597147	322.9320852387	50.8275490947	3.4	1.8	1.8	0.6222222222	25	15	2	1
4	13	501.2230229798	506.7334156946	1115.0133924015	536.6325594906	129.2546285809	6.7777777778	5.1666666667	1.6111111111	0.8247379965	324	252	2	1
5	14	1080.4303889016	3565.9566038207	4824.084077973	3501.2331229307	380.2637719339	8.08	5.52	1.84	0.701173489	625	500	2	1
6	15	172.2561678134	167.347142992	248.2453192656	167.347142992	5.384729988122672e-05	1.5	1.5	1.5	0.75	4	4	2	1
7	22	405.8347642212	321.2256658052	379.5904787261	321.2256658052	0.0044799734	1.25	1.25	1.25	0.875	16	16	2	1
8	23	380.364196591	302.7434342485	563.7223314148	272.9396543779	22.0804107626	2.13	1.11	1.21	0.8579055556	10000	6900	2	1
9	24	376.5936831723	682.9906032458	1025.0654986773	705.9180845029	55.0202704291	4.3265306122	1.9693877551	1.5816326531	0.8128304552	9604	6370	2	1
10	25	264.3894184737	894.4748757837	1075.919036863	850.1247207004	36.7339035476	2.9480519481	1.2532467532	1.4545454545	0.8377468993	23716	15400	2	1
11	26	74.7984829997	665.6963040696	709.9145331056	662.1271916356	35.6023938446	2.3636363636	1.4090909091	1.3181818182	0.8853598485	484	396	2	1
12	29	2068.2361504072	1282.3833590127	4090.6331041949	500.9277519836	796.4669593436	4	2	1.6666666667	0.7504166667	36	30	2	1
13	30	650.6974377159	1209.9258658216	1961.9701488668	1170.5076488355	159.676711826	4.0714285714	3	1.5	0.7011625364	196	168	2	1
14	31	163.6023592283	303.5754295796	416.7120937728	313.3723497063	39.9453633854	2.5429864253	1.2941176471	1.334841629	0.8572698103	48841	33150	2	1
15	32	137.9123003434	505.3492990427	588.8721042693	501.7449199067	14.2118147273	2.1626794258	1.1052631579	1.2440191388	0.8673086124	43681	31559	2	1
16	33	542.8121961299	2259.0343722817	2736.2536373844	2379.2146396798	296.2910968656	3.53125	2.28125	1.25	0.9229999291	1024	672	2	1
17	34	5823.3707432881	4479.5243769951	14325.1707411621	2716.4430618088	2435.6068952402	46.5	35.5	4.5	0.2804991115	4	4	2	1
18	36	153.2936974191	138.8765630488	266.7793181169	125.6520553715	25.3409721597	6.9285714286	1.2954545455	1.5876623377	0.8682339443	94864	56980	2	1
19	37	199.0170909807	260.2915664027	429.2271662641	234.9376367217	24.6054933427	2.513618677	1.1673151751	1.2645914397	0.8751555198	66049	48316	2	1
20	38	296.27518993	314.9697530223	685.3800209638	290.9055284972	121.6088683438	6.6493506494	1.9220779221	1.6623376623	0.8126714379	5929	3850	2	1
21	39	249.3892367784	207.2540436672	380.492534447	166.341231168	20.7117788339	2.0581395349	1.1395348837	1.2558139535	0.8484657623	7396	5332	2	1
22	40	553.7710358842	396.7164371748	757.6287264211	350.1406011858	33.9530267636	2.1111111111	1.2777777778	1.4166666667	0.8097222222	1296	972	2	1
