	HEX_600	01_HEX_weighted_average_distance	01_HEX_weighted_mean_home_distance	01_HEX_weighted_max_home_distance	01_HEX_weighted_median_home_distance	01_HEX_weighted_radius_of_gyration	01_HEX_weighted_num_reporting_2015	01_HEX_weighted_HEX_coverage	01_HEX_weighted_subject_coverage	01_HEX_weighted_subject_hhi	01_HEX_total_reporting	01_HEX_total_user	02_HEX_weighted_average_distance	02_HEX_weighted_mean_home_distance	02_HEX_weighted_max_home_distance	02_HEX_weighted_median_home_distance	02_HEX_weighted_radius_of_gyration	02_HEX_weighted_num_reporting_2015	02_HEX_weighted_HEX_coverage	02_HEX_weighted_subject_coverage	02_HEX_weighted_subject_hhi	02_HEX_total_reporting	02_HEX_total_user	03_HEX_weighted_average_distance	03_HEX_weighted_mean_home_distance	03_HEX_weighted_max_home_distance	03_HEX_weighted_median_home_distance	03_HEX_weighted_radius_of_gyration	03_HEX_weighted_num_reporting_2015	03_HEX_weighted_HEX_coverage	03_HEX_weighted_subject_coverage	03_HEX_weighted_subject_hhi	03_HEX_total_reporting	03_HEX_total_user	04_HEX_weighted_average_distance	04_HEX_weighted_mean_home_distance	04_HEX_weighted_max_home_distance	04_HEX_weighted_median_home_distance	04_HEX_weighted_radius_of_gyration	04_HEX_weighted_num_reporting_2015	04_HEX_weighted_HEX_coverage	04_HEX_weighted_subject_coverage	04_HEX_weighted_subject_hhi	04_HEX_total_reporting	04_HEX_total_user	05_HEX_weighted_average_distance	05_HEX_weighted_mean_home_distance	05_HEX_weighted_max_home_distance	05_HEX_weighted_median_home_distance	05_HEX_weighted_radius_of_gyration	05_HEX_weighted_num_reporting_2015	05_HEX_weighted_HEX_coverage	05_HEX_weighted_subject_coverage	05_HEX_weighted_subject_hhi	05_HEX_total_reporting	05_HEX_total_user	06_HEX_weighted_average_distance	06_HEX_weighted_mean_home_distance	06_HEX_weighted_max_home_distance	06_HEX_weighted_median_home_distance	06_HEX_weighted_radius_of_gyration	06_HEX_weighted_num_reporting_2015	06_HEX_weighted_HEX_coverage	06_HEX_weighted_subject_coverage	06_HEX_weighted_subject_hhi	06_HEX_total_reporting	06_HEX_total_user
10	25	264.3894184737	894.4748757837	1075.919036863	850.1247207004	36.7339035476	2.9480519481	1.2532467532	1.4545454545	0.8377468993	23716	15400	264.3894184737	894.4748757837	1075.919036863	850.1247207004	36.7339035476	2.9480519481	1.2532467532	1.4545454545	0.8377468993	23716	15400	633.3753717003	857.8862743429	1554.1106332306	861.8210162324	159.5694194682	45.4757281553	13.9417475728	1.8834951456	0.787762145	10609	6901	4136.4723008144	2504.5935469838	8121.0930373482	941.6823329255	1592.9339186872	7	3	2.3333333333	0.5008333333	9	6	4136.4723008144	2504.5935469838	8121.0930373482	941.6823329255	1592.9339186872	7	3	2.3333333333	0.5008333333	9	6	1067.1448120789	2325.354748371	3638.8914920833	2144.4237964387	380.5149410886	73.6785714286	25.3214285714	2.8928571429	0.5733021826	3136	896
11	26	74.7984829997	665.6963040696	709.9145331056	662.1271916356	35.6023938446	2.3636363636	1.4090909091	1.3181818182	0.8853598485	484	396	74.7984829997	665.6963040696	709.9145331056	662.1271916356	35.6023938446	2.3636363636	1.4090909091	1.3181818182	0.8853598485	484	396	509.4162866739	1053.5834531912	1566.7793655482	990.6509481713	132.3597500428	26.5527950311	9.4906832298	1.701863354	0.8158690822	25921	16583	1012.6736592209	2349.948165558	3911.7610568113	2257.9723259238	372.5764506787	7.6666666667	5.5	2	0.3860459184	36	30	1012.6736592209	2349.948165558	3911.7610568113	2257.9723259238	372.5764506787	7.6666666667	5.5	2	0.3860459184	36	30	325.6281833183	2706.9922195568	2899.9555721387	2691.2881248472	156.650532721	6.2	2.8	2.4	0.4955833333	25	15
12	29	2068.2361504072	1282.3833590127	4090.6331041949	500.9277519836	796.4669593436	4	2	1.6666666667	0.7504166667	36	30	2068.2361504072	1282.3833590127	4090.6331041949	500.9277519836	796.4669593436	4	2	1.6666666667	0.7504166667	36	30	74.7984829997	665.6963040696	709.9145331056	662.1271916356	35.6023938446	2.3636363636	1.4090909091	1.3181818182	0.8853598485	484	396	388.5115199426	409.0805147711	704.139811536	437.9487727445	117.7054550338	4.84	1.8	1.8	0.6927550412	5625	2025	388.5115199426	409.0805147711	704.139811536	437.9487727445	117.7054550338	4.84	1.8	1.8	0.6927550412	5625	2025	4628.1818492691	3083.8906362864	9256.2463628089	1997.3710999804	1846.89701021	248	82.8	4	0.480049716	25	20
13	30	650.6974377159	1209.9258658216	1961.9701488668	1170.5076488355	159.676711826	4.0714285714	3	1.5	0.7011625364	196	168	650.6974377159	1209.9258658216	1961.9701488668	1170.5076488355	159.676711826	4.0714285714	3	1.5	0.7011625364	196	168	2892.6136557932	1949.9965868196	5807.7189158962	1270.9218766283	1154.3106313812	155.375	52.125	2.875	0.6750310725	64	56	113.531858816	381.9572312077	490.8994692455	369.607801053	48.688018536	4.3278688525	1.2950819672	1.6229508197	0.6765163934	3721	1220	113.531858816	381.9572312077	490.8994692455	369.607801053	48.688018536	4.3278688525	1.2950819672	1.6229508197	0.6765163934	3721	1220	2242.3912853866	2884.1462145279	5957.0746642783	2679.9796348544	851.8813466279	148.25	51.625	3.25	0.3751903212	64	56
14	31	163.6023592283	303.5754295796	416.7120937728	313.3723497063	39.9453633854	2.5429864253	1.2941176471	1.334841629	0.8572698103	48841	33150	163.6023592283	303.5754295796	416.7120937728	313.3723497063	39.9453633854	2.5429864253	1.2941176471	1.334841629	0.8572698103	48841	33150	1310.8032784869	1619.5276777736	3228.3508160933	1517.4443879369	425.9416271572	74.8125	26.375	2.1875	0.6563451606	256	224	1063.3749319146	2208.3991861025	3156.1985332002	2448.7597208986	592.5821718557	5.8125	3.5625	1.5	0.8459998583	256	112	1063.3749319146	2208.3991861025	3156.1985332002	2448.7597208986	592.5821718557	5.8125	3.5625	1.5	0.8459998583	256	112	719.0635885098	661.59454032	1303.3732636419	676.6843000842	235.4451813029	22.5875	8.6125	2.0625	0.6680676397	6400	2560
15	32	137.9123003434	505.3492990427	588.8721042693	501.7449199067	14.2118147273	2.1626794258	1.1052631579	1.2440191388	0.8673086124	43681	31559	137.9123003434	505.3492990427	588.8721042693	501.7449199067	14.2118147273	2.1626794258	1.1052631579	1.2440191388	0.8673086124	43681	31559	285.5878074095	395.2951086498	635.189150221	400.636616531	83.3434986057	8.8761061947	3.7168141593	1.4380530973	0.8448911999	51076	35030	5823.3707432881	4479.5243769951	14325.1707411621	2716.4430618088	2435.6068952402	46.5	35.5	4.5	0.2804991115	4	4	5823.3707432881	4479.5243769951	14325.1707411621	2716.4430618088	2435.6068952402	46.5	35.5	4.5	0.2804991115	4	4	649.2199232868	788.2582013857	1528.1580425765	765.9428364316	243.2677365305	20.9852941176	11.2647058824	1.9705882353	0.661012674	4624	1632
16	33	542.8121961299	2259.0343722817	2736.2536373844	2379.2146396798	296.2910968656	3.53125	2.28125	1.25	0.9229999291	1024	672	542.8121961299	2259.0343722817	2736.2536373844	2379.2146396798	296.2910968656	3.53125	2.28125	1.25	0.9229999291	1024	672	305.7647322569	629.2600467152	912.2414308496	622.2348392297	76.5856769972	7.4768518519	4.25	1.3657407407	0.8562447307	46656	33480	181.7575877047	145.0497280178	369.3560343048	110.8215905	65.5845119304	15.781512605	1.6974789916	2.3445378151	0.7534962592	14161	2975	181.7575877047	145.0497280178	369.3560343048	110.8215905	65.5845119304	15.781512605	1.6974789916	2.3445378151	0.7534962592	14161	2975	1635.9855033639	2483.30031216	3569.9710483495	2750.7800130384	644.3954055745	7.0526315789	4.3157894737	1.9473684211	0.7503759316	361	171
17	34	5823.3707432881	4479.5243769951	14325.1707411621	2716.4430618088	2435.6068952402	46.5	35.5	4.5	0.2804991115	4	4	5823.3707432881	4479.5243769951	14325.1707411621	2716.4430618088	2435.6068952402	46.5	35.5	4.5	0.2804991115	4	4	898.2775979839	2403.9262533262	2996.8682795353	2549.1295195173	349.8146587406	4.4	2.8	1.5142857143	0.8644897914	1225	805	600.7642602341	573.6578812578	1145.7004348546	474.9312156816	95.8040507543	6	1.5606060606	1.803030303	0.6615904331	4356	1452	600.7642602341	573.6578812578	1145.7004348546	474.9312156816	95.8040507543	6	1.5606060606	1.803030303	0.6615904331	4356	1452	5594.5584576196	4216.1803236177	12642.073546081	3148.6736561857	2331.7242713672	328	119	5.5	0.3646867008	16	16
18	36	153.2936974191	138.8765630488	266.7793181169	125.6520553715	25.3409721597	6.9285714286	1.2954545455	1.5876623377	0.8682339443	94864	56980	153.2936974191	138.8765630488	266.7793181169	125.6520553715	25.3409721597	6.9285714286	1.2954545455	1.5876623377	0.8682339443	94864	56980	5594.5584576196	4216.1803236177	12642.073546081	3148.6736561857	2331.7242713672	328	119	5.5	0.3646867008	16	16	493.1202493683	523.0575233421	1096.4070028894	483.8207012769	200.5992639604	12.9117647059	2.4411764706	2.3529411765	0.5975506327	1156	374	651.8054178461	655.915645555	1470.8182350263	602.9743515996	267.5395103564	13.2	3.0285714286	2.4571428571	0.5878771633	1225	420	466.411431408	376.1260845612	958.6822978186	323.2973524175	170.5882392727	36.4330708661	9.3779527559	2.5748031496	0.7294893443	16129	3810
19	37	199.0170909807	260.2915664027	429.2271662641	234.9376367217	24.6054933427	2.513618677	1.1673151751	1.2645914397	0.8751555198	66049	48316	199.0170909807	260.2915664027	429.2271662641	234.9376367217	24.6054933427	2.513618677	1.1673151751	1.2645914397	0.8751555198	66049	48316	270.279666481	233.0393406085	507.1183152647	211.8745173207	68.3443927726	15.4100946372	4.3848580442	1.7003154574	0.8545588225	100489	60547	576.1470559204	462.9566662279	966.4047207663	287.0315724815	89.0345608127	4.15	1.45	1.65	0.6109027778	400	160	576.1470559204	462.9566662279	966.4047207663	287.0315724815	89.0345608127	4.15	1.45	1.65	0.6109027778	400	160	973.0620360173	855.855556806	1943.5231535689	732.8035602733	245.0193505829	43.338028169	14.9014084507	2.1830985915	0.6383326939	5041	1775
