	HEX_600	01_HEX_weighted_average_distance	01_HEX_weighted_mean_home_distance	01_HEX_weighted_max_home_distance	01_HEX_weighted_median_home_distance	01_HEX_weighted_radius_of_gyration	01_HEX_weighted_num_reporting_2015	01_HEX_weighted_HEX_coverage	01_HEX_weighted_subject_coverage	01_HEX_weighted_subject_hhi	01_HEX_total_reporting	01_HEX_total_user	02_HEX_weighted_average_distance	02_HEX_weighted_mean_home_distance	02_HEX_weighted_max_home_distance	02_HEX_weighted_median_home_distance	02_HEX_weighted_radius_of_gyration	02_HEX_weighted_num_reporting_2015	02_HEX_weighted_HEX_coverage	02_HEX_weighted_subject_coverage	02_HEX_weighted_subject_hhi	02_HEX_total_reporting	02_HEX_total_user	03_HEX_weighted_average_distance	03_HEX_weighted_mean_home_distance	03_HEX_weighted_max_home_distance	03_HEX_weighted_median_home_distance	03_HEX_weighted_radius_of_gyration	03_HEX_weighted_num_reporting_2015	03_HEX_weighted_HEX_coverage	03_HEX_weighted_subject_coverage	03_HEX_weighted_subject_hhi	03_HEX_total_reporting	03_HEX_total_user	04_HEX_weighted_average_distance	04_HEX_weighted_mean_home_distance	04_HEX_weighted_max_home_distance	04_HEX_weighted_median_home_distance	04_HEX_weighted_radius_of_gyration	04_HEX_weighted_num_reporting_2015	04_HEX_weighted_HEX_coverage	04_HEX_weighted_subject_coverage	04_HEX_weighted_subject_hhi	04_HEX_total_reporting	04_HEX_total_user	05_HEX_weighted_average_distance	05_HEX_weighted_mean_home_distance	05_HEX_weighted_max_home_distance	05_HEX_weighted_median_home_distance	05_HEX_weighted_radius_of_gyration	05_HEX_weighted_num_reporting_2015	05_HEX_weighted_HEX_coverage	05_HEX_weighted_subject_coverage	05_HEX_weighted_subject_hhi	05_HEX_total_reporting	05_HEX_total_user	06_HEX_weighted_average_distance	06_HEX_weighted_mean_home_distance	06_HEX_weighted_max_home_distance	06_HEX_weighted_median_home_distance	06_HEX_weighted_radius_of_gyration	06_HEX_weighted_num_reporting_2015	06_HEX_weighted_HEX_coverage	06_HEX_weighted_subject_coverage	06_HEX_weighted_subject_hhi	06_HEX_total_reporting	06_HEX_total_user
95	162	422.6670046018	711.1672284727	1263.5906545635	650.7395786847	129.2283421741	7.690821256	2.6763285024	1.6859903382	0.7971008858	42849	31050	449.4408144988	747.3804897587	1311.5511069755	690.804647297	136.2390490761	7.6208530806	2.682464455	1.6777251185	0.7994197598	44521	32494	394.7716209891	568.0085362524	1021.8921449156	517.7374120972	133.0931813231	20.746031746	7.4761904762	1.5555555556	0.8531586835	3969	2583	510.1898455321	484.1742550535	1915.9683723101	325.9870043594	371.9276585559	8.8636363636	2.5454545455	2.1363636364	0.6756119746	1936	616	510.1898455321	484.1742550535	1915.9683723101	325.9870043594	371.9276585559	8.8636363636	2.5454545455	2.1363636364	0.6756119746	1936	616	1355.0332997274	1396.0446943338	3314.0602668769	1269.4513026701	531.1882370806	92.186440678	23.5084745763	4.1610169492	0.5203641333	13924	4130
96	163	323.407605982	440.3910649205	751.4927485576	399.2542844337	82.025159646	6.488372093	1.634551495	1.5780730897	0.8067577276	90601	54180	319.166194756	435.9954439098	743.0171054665	395.3981621835	80.9494198474	6.4950819672	1.6262295082	1.5704918033	0.8004596671	93025	55205	1418.6207713692	1226.0875447004	2945.1323557244	1135.4786354855	493.4614861385	164.6764705882	49.6470588235	2.6764705882	0.7355714463	1156	816	323.544283796	396.6720482349	701.9377341234	476.2747688481	68.3293336425	7.25	1.6818181818	1.8409090909	0.7295142138	7744	2112	323.544283796	396.6720482349	701.9377341234	476.2747688481	68.3293336425	7.25	1.6818181818	1.8409090909	0.7295142138	7744	2112	2125.6360749174	1805.4860197808	4590.7051010963	1597.7681124111	806.6383655501	187.8909090909	55.8454545455	3.6272727273	0.5505364157	12100	4950
97	164	689.5966232461	878.9609113176	1636.0982266822	770.5394198021	156.2034064012	11.747826087	2.2782608696	1.5739130435	0.8234115283	13225	8855	708.7012554563	862.2452870499	1684.2362659917	756.3688658454	181.2265796513	12.811023622	2.6771653543	1.8188976378	0.7753187611	16129	10033	420.323368863	591.2221879683	1050.2396853018	557.4358952544	102.3922439401	25.7884615385	7.9807692308	1.6153846154	0.8621624231	10816	7696	867.1958386448	978.81214271	1722.3195870209	1018.7598683066	251.28052702	5.76	1.88	1.6	0.6729605442	625	200	867.1958386448	978.81214271	1722.3195870209	1018.7598683066	251.28052702	5.76	1.88	1.6	0.6729605442	625	200	1167.246090871	1050.1361517042	2488.3644213201	924.1703719101	441.2696558189	102.0731707317	28.9817073171	2.737804878	0.5964561736	26896	6888
98	165	690.2264025936	1443.7046453197	2065.6386957527	1392.3572510933	179.8932250112	4.8979591837	3.1020408163	1.4897959184	0.8268598511	2401	1862	661.0877863458	1318.4564180916	1954.8011810241	1268.1590804539	185.1499243497	6.8727272727	3.3090909091	1.7636363636	0.7715083073	3025	2145	645.8010400317	733.3957255769	1596.5874686572	668.7660489376	236.0509507929	53.8436657682	16.4905660377	1.9757412399	0.7871221133	137641	78652	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	2270.4909397955	1717.6565883014	4688.6811292675	1431.515041389	834.1004945798	160.6707317073	49.1829268293	3.5853658537	0.5523464018	6724	2542
99	166	339.4655934348	1511.0080812536	1976.0529428152	1463.1709263517	95.4054243827	5.152173913	3.0434782609	1.3913043478	0.8557875166	2116	1610	339.4655934348	1511.0080812536	1976.0529428152	1463.1709263517	95.4054243827	5.152173913	3.0434782609	1.3913043478	0.8557875166	2116	1610	689.8800608245	940.9132347407	1892.4745510789	878.9297483659	260.084044186	45.8174273859	12.0539419087	2.5892116183	0.7288504885	58081	34704	2126.0893189437	2232.1639488534	4993.7989225588	2038.0481436248	792.1473887735	9.4	3.4	2.15	0.617625	400	240	2312.8041678555	2372.2081322791	5432.2275513742	2162.6267302413	875.5455077756	10.0476190476	4.3333333333	2.3333333333	0.6005466289	441	273	2468.3004053775	1949.7707046154	4801.9587375656	1769.0961026987	846.6953557416	166.5517241379	52.8275862069	3.724137931	0.5035715867	841	406
100	167	619.025828085	3350.9284109303	3875.2799079399	3261.1127249583	189.4017155321	2.4	2	1.8	0.723	25	25	619.025828085	3350.9284109303	3875.2799079399	3261.1127249583	189.4017155321	2.4	2	1.8	0.723	25	25	1039.8585552015	1145.8449213945	2450.316439606	1051.0359180307	368.1756354103	86.4522821577	26.0663900415	2.265560166	0.7492074926	58081	39524	816.2800465567	976.7815007178	1737.1869670547	980.1490317611	266.000155443	8	3.75	2.4583333333	0.5962731481	576	240	816.2800465567	976.7815007178	1737.1869670547	980.1490317611	266.000155443	8	3.75	2.4583333333	0.5962731481	576	240	1984.9777686443	3070.0959549569	5656.1183907809	2888.5811976461	732.5031960112	144.12	48.12	2.88	0.6775571313	625	350
101	168	1405.7340665686	1246.5581325175	2081.6151684127	1619.0823206771	339.3158952968	3	3	3	0.3333333333	1	1	1405.7340665686	1246.5581325175	2081.6151684127	1619.0823206771	339.3158952968	3	3	3	0.3333333333	1	1	654.5966995457	682.5948314802	1435.1674438136	619.8033789384	219.9660113166	51.5167173252	14.9696048632	1.9179331307	0.7707258738	108241	62181	683.3915851072	524.5427825184	1251.8920801902	400.8126487612	259.1607778452	6.4666666667	2.5333333333	1.8333333333	0.6688586861	900	450	683.3915851072	524.5427825184	1251.8920801902	400.8126487612	259.1607778452	6.4666666667	2.5333333333	1.8333333333	0.6688586861	900	450	2893.0949332114	2492.6186585719	5848.3710509211	2221.7841690494	1058.2225227293	335.3333333333	93.3333333333	4.6666666667	0.2998965251	9	9
102	176	0	190.7908032937	190.7908032937	190.7908032937	0	2	1	1	1	4	2	0	190.7908032937	190.7908032937	190.7908032937	0	2	1	1	1	4	2	1413.0606828599	1364.2734236139	3077.3392466237	1206.7995521588	459.0360203558	89.0402684564	27.5436241611	2.4765100671	0.721761107	22201	13112	501.7818305363	500.4048459945	1027.4146759049	440.1565492827	137.2757249308	8.4065934066	3.3736263736	1.6813186813	0.7522324389	8281	3094	501.7818305363	500.4048459945	1027.4146759049	440.1565492827	137.2757249308	8.4065934066	3.3736263736	1.6813186813	0.7522324389	8281	3094	4646.7733793664	3739.1292290606	9745.3144369192	3447.3046504398	1664.6555784101	283.3333333333	115.5	6	0.3305671581	36	30
103	177	624.644723416	523.5920838281	3792.1467739935	253.5542024406	845.0499947335	15.9264705882	2.9411764706	2.3235294118	0.7324706493	4624	1700	624.644723416	523.5920838281	3792.1467739935	253.5542024406	845.0499947335	15.9264705882	2.9411764706	2.3235294118	0.7324706493	4624	1700	1160.1194493706	1603.1371003503	2938.9939738134	1518.628012357	396.0349252279	78.5967741935	25.2580645161	2.3387096774	0.7234447744	3844	2666	282.5468922478	247.2452322957	808.0140354777	173.3086799894	151.4339402281	19.442687747	3.7865612648	2.628458498	0.5961878045	64009	16192	282.5468922478	247.2452322957	808.0140354777	173.3086799894	151.4339402281	19.442687747	3.7865612648	2.628458498	0.5961878045	64009	16192	1075.8959823406	676.3585202872	5342.8369394227	290.9541374973	1241.9853874781	41.34	9.3	2.96	0.6271793183	2500	500
104	178	265.3480204281	283.3174376751	573.4314769945	396.7314109858	44.2914170765	3.2533333333	1.52	1.3866666667	0.8627886884	5625	4050	265.3480204281	283.3174376751	573.4314769945	396.7314109858	44.2914170765	3.2533333333	1.52	1.3866666667	0.8627886884	5625	4050	984.596624577	1840.8142330806	3084.2998964546	1755.1940645378	345.5207172777	68.6226415094	23.2452830189	1.9433962264	0.805451477	2809	2120	517.4374547941	587.1975003123	1380.3720115118	415.9757572249	159.4076963305	31.5431034483	3.8318965517	2.3534482759	0.628188224	53824	14152	517.0326692384	585.9459912797	1378.9525099348	415.2800416155	159.7024256836	31.5064377682	3.8369098712	2.3605150215	0.6268632561	54289	14446	1402.4461684488	1223.9534174005	2982.6858743203	1437.6389546964	389.4474923424	36.8709677419	20.1612903226	2.5161290323	0.6899930059	961	403
105	179	145.2987776804	217.6716081721	605.1521886002	175.2311262786	99.7854796355	3.3841463415	1.4268292683	1.3719512195	0.8748593103	26896	18532	145.2987776804	217.6716081721	605.1521886002	175.2311262786	99.7854796355	3.3841463415	1.4268292683	1.3719512195	0.8748593103	26896	18532	1446.5474666057	3481.1920241354	5159.06822031	3345.7747793742	529.1112613647	168.1666666667	47.1666666667	2.8333333333	0.6499482625	36	36	284.4118220385	351.0493013432	886.5041770737	287.6398913831	141.432524817	26.6851851852	3.8333333333	1.8796296296	0.709252584	11664	3456	284.4118220385	351.0493013432	886.5041770737	287.6398913831	141.432524817	26.6851851852	3.8333333333	1.8796296296	0.709252584	11664	3456	923.8449057264	821.1224341995	2673.1396196779	641.498253018	528.495970233	18.7755102041	9.1836734694	2.2857142857	0.6699289627	2401	931
106	180	143.9015435988	365.6756107462	496.1343540117	398.2571894158	27.9673973932	3.7720930233	1.2930232558	1.3674418605	0.8741732596	46225	27950	143.9015435988	365.6756107462	496.1343540117	398.2571894158	27.9673973932	3.7720930233	1.2930232558	1.3674418605	0.8741732596	46225	27950	4646.7733793664	3739.1292290606	9745.3144369192	3447.3046504398	1664.6555784101	283.3333333333	115.5	6	0.3305671581	36	30	1933.6619777103	1054.6661702426	5054.2998674811	152.7881869012	748.4773908676	5.3333333333	2.6666666667	2	0.68	9	9	1933.6619777103	1054.6661702426	5054.2998674811	152.7881869012	748.4773908676	5.3333333333	2.6666666667	2	0.68	9	9	510.5107260028	545.1059404443	1117.421233781	609.2960023422	136.3963141068	15.978021978	6.6043956044	2.010989011	0.7167837899	8281	2275
107	181	315.1820181744	591.2574691181	824.0598038163	601.7700284856	66.1272388321	2.4631578947	1.2526315789	1.1894736842	0.8981475116	9025	6555	315.1820181744	591.2574691181	824.0598038163	601.7700284856	66.1272388321	2.4631578947	1.2526315789	1.1894736842	0.8981475116	9025	6555	0	190.7908032937	190.7908032937	190.7908032937	0	2	1	1	1	4	2	947.0407880775	1204.390576169	2206.2547514175	1251.7339092384	292.9600988811	11.5833333333	6.9444444444	1.9722222222	0.6464799477	1296	468	947.0407880775	1204.390576169	2206.2547514175	1251.7339092384	292.9600988811	11.5833333333	6.9444444444	1.9722222222	0.6464799477	1296	468	1912.1326084749	1765.0513644205	4013.5196076137	1715.6719078865	684.181231196	102.46875	38.96875	2.59375	0.6255375817	1024	384
108	182	0	91.209764702	91.209764702	91.209764702	0	1.3636363636	1	1	1	121	99	0	91.209764702	91.209764702	91.209764702	0	1.3636363636	1	1	1	121	99	772.71284222	624.4088437278	3959.6969970171	349.1199988778	887.1324238413	29.9	6.9285714286	2.4285714286	0.7194137988	4900	1890	1975.5065275248	2017.6890971099	5108.3967415369	1843.2515959597	739.4529175686	11.3333333333	9	2.3333333333	0.400888133	9	6	1975.5065275248	2017.6890971099	5108.3967415369	1843.2515959597	739.4529175686	11.3333333333	9	2.3333333333	0.400888133	9	6	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	1	1
109	183	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	552.057666161	523.0774007535	1207.3638362896	605.8805464557	150.9109072793	15.05	8.4375	1.65	0.8392472898	6400	4560	4387.4001758733	3105.6041608695	9241.3628747318	1446.4515107548	1262.4812351868	20.5	10.5	2	0.7804709141	4	4	4387.4001758733	3105.6041608695	9241.3628747318	1446.4515107548	1262.4812351868	20.5	10.5	2	0.7804709141	4	4	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4
110	184	1048.3673117871	1233.1206186483	2432.773735431	1155.4742965569	316.8639544609	4.56	2.04	1.56	0.79705	2500	1950	1124.3358987586	1344.3284078408	2671.4507956489	1259.6897647102	353.5904925166	4.8461538462	2.4230769231	1.6346153846	0.7906053693	2704	2132	276.0298622294	323.2513360571	863.4685912012	271.1709521642	153.2325693798	6.4201183432	3.3846153846	1.4378698225	0.8673166815	28561	19942	2602.5086940845	3116.3826042567	9729.9840199614	2387.4355275578	1095.2534273376	38	18	3	0.5609418283	4	2	2602.5086940845	3116.3826042567	9729.9840199614	2387.4355275578	1095.2534273376	38	18	3	0.5609418283	4	2	2836.220406472	2653.8564455402	6415.5527083	2419.6600616353	1091.8836650159	167.96	47.32	3.24	0.5500095003	625	350
111	185	376.5963133703	617.8651132182	912.9862810273	618.9012766161	81.8501354769	3.358974359	1.8846153846	1.5128205128	0.8341096866	6084	4524	376.5963133703	617.8651132182	912.9862810273	618.9012766161	81.8501354769	3.358974359	1.8846153846	1.5128205128	0.8341096866	6084	4524	224.4193163575	428.0631038816	672.4022834116	454.8580379766	56.936117719	7.4633027523	3.3532110092	1.4449541284	0.8668684628	47524	28558	411.1255588903	385.6697996602	1362.673836798	295.1359225633	263.9199238452	9.7058823529	3.1176470588	2.8235294118	0.5363369355	289	153	411.1255588903	385.6697996602	1362.673836798	295.1359225633	263.9199238452	9.7058823529	3.1176470588	2.8235294118	0.5363369355	289	153	1354.8220574707	1415.9782392843	2874.2182383356	1361.2008986644	472.2245278153	47.2222222222	15.7037037037	2.7037037037	0.5801409671	729	351
112	186	215.1456998543	188.2037153435	404.9188753457	153.1857529594	73.3476537771	2.7735849057	1.4528301887	1.2924528302	0.86382793	11236	8586	215.1456998543	188.2037153435	404.9188753457	153.1857529594	73.3476537771	2.7735849057	1.4528301887	1.2924528302	0.86382793	11236	8586	680.888619918	864.5176437248	1604.5129326536	849.026049518	214.6458226649	33.0294117647	12.931372549	1.5294117647	0.8678157119	10404	7446	1276.869642562	2238.9154419509	4101.5043709638	1916.0465546407	483.4649874303	14.1379310345	4.5517241379	2.9885057471	0.572650413	7569	2088	1276.869642562	2238.9154419509	4101.5043709638	1916.0465546407	483.4649874303	14.1379310345	4.5517241379	2.9885057471	0.572650413	7569	2088	1410.0799475432	1150.8342222816	2880.7768183728	945.7405829451	526.962300482	29.0571428571	16.3428571429	2.3142857143	0.6535189476	1225	665
113	187	312.7559549675	399.1010175581	665.4712090277	374.6251470189	55.7693771773	4.2455357143	2.0044642857	1.3348214286	0.856933714	50176	32928	312.7559549675	399.1010175581	665.4712090277	374.6251470189	55.7693771773	4.2455357143	2.0044642857	1.3348214286	0.856933714	50176	32928	465.3463049341	427.9847918236	1048.4430994902	397.6993719313	185.6382492106	84.3333333333	23.6666666667	1.5833333333	0.9403907979	144	120	591.9703074611	310.5668198095	870.1018967515	35.338222648	13.0352523675	4	2	1	1	9	6	591.9703074611	310.5668198095	870.1018967515	35.338222648	13.0352523675	4	2	1	1	9	6	1185.4582750704	1023.7668308372	2476.6606692964	907.3765030384	409.2755044728	85.4	28.0952380952	2.3333333333	0.7061638655	11025	4200
114	188	176.8825803433	215.8353969686	492.1027170846	182.5507924606	68.1731183984	9.487544484	2.2775800712	1.7953736655	0.7777322323	315844	186022	176.8825803433	215.8353969686	492.1027170846	182.5507924606	68.1731183984	9.487544484	2.2775800712	1.7953736655	0.7777322323	315844	186022	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	2083.7681051321	2034.1357432904	4448.1397871048	2470.8195739568	723.0787096887	10	7	3	0.54	1	1	2083.7681051321	2034.1357432904	4448.1397871048	2470.8195739568	723.0787096887	10	7	3	0.54	1	1	430.4908425743	363.9429511061	1120.6786853451	281.9234965267	208.465832373	31.3793103448	8.5440613027	2.7318007663	0.5921337124	68121	17748
115	189	276.9804942291	393.3506828114	782.3560389427	312.9388520497	74.8639075226	15.520242915	2.3481781377	1.6761133603	0.7960317165	244036	141778	277.2757304434	393.153198393	782.8959825895	312.8195291571	75.1734342461	15.5353535354	2.3535353535	1.6808080808	0.795068967	245025	142560	1442.8944530765	1543.4842422922	3307.6335803998	1438.9322851918	487.4525280888	75.7142857143	21.75	2.0892857143	0.7544685269	3136	2352	2173.1153079581	1645.3867926902	5342.0036600654	1061.7654699829	709.289332547	17.24	6.36	2.72	0.5151130862	625	350	2173.1153079581	1645.3867926902	5342.0036600654	1061.7654699829	709.289332547	17.24	6.36	2.72	0.5151130862	625	350	798.0426542036	824.8493798652	2007.8477770457	605.8680329261	273.1907393447	47.6153846154	10.3603238866	2.5101214575	0.6279077261	61009	16549
116	190	220.0161180097	378.6802154594	651.33846619	349.4143339394	65.2794307791	13.0427350427	2.3290598291	1.4700854701	0.8305524747	54756	32526	220.0161180097	378.6802154594	651.33846619	349.4143339394	65.2794307791	13.0427350427	2.3290598291	1.4700854701	0.8305524747	54756	32526	572.3948997189	777.5572256107	1322.5226561219	759.2981120707	157.4119640442	16.6049382716	5.9382716049	1.6296296296	0.8199235322	6561	4941	1171.7989111509	823.3038060104	2531.0742371804	521.4855200005	378.9268239839	17.1764705882	5.2352941176	2.5294117647	0.5079802754	289	153	1171.7989111509	823.3038060104	2531.0742371804	521.4855200005	378.9268239839	17.1764705882	5.2352941176	2.5294117647	0.5079802754	289	153	775.3773226754	782.6698319843	2012.9215697797	629.2500185587	325.2350432732	58.6470588235	15.512605042	2.2100840336	0.6987185902	14161	4165
117	191	688.1530555052	1206.1170333404	2244.2150916715	997.991344877	172.7268424093	2.4615384615	1.5384615385	1.3076923077	0.7723076923	169	156	688.1530555052	1206.1170333404	2244.2150916715	997.991344877	172.7268424093	2.4615384615	1.5384615385	1.3076923077	0.7723076923	169	156	465.3738269852	400.833406583	956.6831263422	336.1642410265	166.1595358728	10.0630630631	5.8558558559	1.4684684685	0.8502086772	12321	9435	840.878173892	661.7683145146	1567.9471956111	466.8702800227	292.1854664142	11.375	4.3125	2.375	0.6157002905	256	128	1147.1265840214	927.1402842957	2311.0561916153	713.1837025256	424.616197085	12.0588235294	5.4117647059	2.5882352941	0.5947166973	289	153	4160.6181568325	2933.4001652114	8976.8602063657	2365.9285270238	1673.0115548966	528.25	154	5.375	0.4739771632	64	40
118	192	451.9230820355	610.5806790884	1019.8807339758	627.1278634622	102.3941854249	4.9514563107	3.1553398058	1.4563106796	0.8181871662	10609	7313	451.9230820355	610.5806790884	1019.8807339758	627.1278634622	102.3941854249	4.9514563107	3.1553398058	1.4563106796	0.8181871662	10609	7313	625.4970849424	635.9550596026	1326.1352335755	584.6063855737	180.5637709607	38.4579831933	12.9915966387	1.6428571429	0.8304504449	56644	36414	1464.0000011853	1359.6376526913	2723.3453269705	1303.6347946767	425.830182577	9.1923076923	3.8076923077	2.2692307692	0.578355573	676	338	1464.0000011853	1359.6376526913	2723.3453269705	1303.6347946767	425.830182577	9.1923076923	3.8076923077	2.2692307692	0.578355573	676	338	1562.6299602939	1675.7131977058	3480.8581798373	1644.9532937513	523.8736449641	67.5714285714	25.3333333333	2.4761904762	0.6159005422	1764	756
119	193	1481.6298956436	1540.3300685527	3858.360801873	1409.5019426901	554.5896881765	8.75	7	2	0.5506660998	16	12	1481.6298956436	1540.3300685527	3858.360801873	1409.5019426901	554.5896881765	8.75	7	2	0.5506660998	16	12	246.1083444319	269.7115080075	639.7040577207	232.1552314369	95.4562945816	15.0929824561	4.4771929825	1.8543859649	0.7733278929	324900	190950	508.229468559	422.2397704567	936.8416525398	339.1226919958	164.1902680975	7.1782178218	2.6831683168	2.396039604	0.5644550685	10201	3737	508.229468559	422.2397704567	936.8416525398	339.1226919958	164.1902680975	7.1782178218	2.6831683168	2.396039604	0.5644550685	10201	3737	2877.6688104459	2546.3943453726	6725.8000016928	2324.7099598333	1111.5044358083	257.75	75	3.75	0.3718384936	16	12
120	194	1253.5429073924	916.2048579772	2669.2787762236	442.1612436587	360.7089243391	6.8571428571	3.7142857143	1.2857142857	0.937277404	49	42	1253.5429073924	916.2048579772	2669.2787762236	442.1612436587	360.7089243391	6.8571428571	3.7142857143	1.2857142857	0.937277404	49	42	421.8401269207	517.6518945995	1107.3640828435	411.5962226505	132.3103882185	23.7490196078	5.5529411765	1.7725490196	0.7903788399	260100	149940	509.0749053762	498.813969028	1262.1810811887	429.4500176812	198.4643899913	31.7384615385	4.2205128205	2.4102564103	0.5723795758	38025	10920	509.0749053762	498.813969028	1262.1810811887	429.4500176812	198.4643899913	31.7384615385	4.2205128205	2.4102564103	0.5723795758	38025	10920	4559.2859481247	3724.9952145815	9317.4782659578	2542.8507146535	1244.9258530216	18	11	3	0.614988499	9	9
121	195	578.3352653521	1579.5200041222	3049.2092076121	1417.5317648558	243.3896505195	9.2222222222	4.7777777778	1.4444444444	0.9024315174	81	72	578.3352653521	1579.5200041222	3049.2092076121	1417.5317648558	243.3896505195	9.2222222222	4.7777777778	1.4444444444	0.9024315174	81	72	461.376311153	587.0839015452	1209.013945993	512.5657064527	157.9740582513	29.1795918367	8.0693877551	1.6489795918	0.8199898458	60025	34790	436.8443426677	788.7762835865	1339.8122401709	752.05878796	182.3709381756	27.8333333333	3.8666666667	1.8666666667	0.7290940113	900	390	436.8443426677	788.7762835865	1339.8122401709	752.05878796	182.3709381756	27.8333333333	3.8666666667	1.8666666667	0.7290940113	900	390	4832.2151838474	3980.3054808308	11238.2184864242	3515.12405338	1920.9911158468	382.25	143.5	5.75	0.450512108	64	32
122	202	0	18.5066246432	18.5066246432	18.5066246432	0	1.1666666667	1	1	0.875	36	36	0	18.5066246432	18.5066246432	18.5066246432	0	1.1666666667	1	1	0.875	36	36	2023.8860579498	1999.0402357994	4768.1543466784	1746.8306188271	743.5616232162	235.6666666667	69.1111111111	3	0.6551009614	324	252	798.5981531382	1497.7838254364	1968.3313617677	1605.2114107926	240.121010174	5.0434782609	1.9565217391	1.8260869565	0.7258454106	529	253	6047.1011460914	5173.0918007929	14200.800127682	4654.1984625717	2543.507887818	23	23	6	0.258979206	1	1	4754.9280164123	6371.9872680365	7781.7106931405	7781.7106931405	1486.2053094941	14	5	3	0.5	1	1
123	203	139.3047143197	563.3533507541	851.0905734234	537.7020855766	74.77751765	3.7166666667	1.6166666667	1.55	0.8519621317	3600	2700	139.3047143197	563.3533507541	851.0905734234	537.7020855766	74.77751765	3.7166666667	1.6166666667	1.55	0.8519621317	3600	2700	716.3767652404	824.8780138318	1576.3173220335	813.0255737759	201.8599140142	26.8899082569	10.4495412844	1.6788990826	0.7969525025	11881	8284	564.5900521721	490.1677593294	1094.5916888731	419.2957416081	213.2588222025	6.0485436893	1.7475728155	2.1553398058	0.6135165813	10609	3605	1017.2857778446	1650.9216577429	2478.0175603475	1732.25253795	336.0954634092	5.7916666667	2.8333333333	2	0.7063926521	576	288	1501.7485349075	1239.8410198488	3571.0177169254	1061.221485568	640.7885878256	47.380952381	27.0952380952	3.5238095238	0.5050266152	441	231
124	204	657.20522899	1230.4191727569	2125.1458995786	1081.006442991	223.7317268444	7.2553191489	2.670212766	1.9521276596	0.778300989	35344	21056	657.20522899	1230.4191727569	2125.1458995786	1081.006442991	223.7317268444	7.2553191489	2.670212766	1.9521276596	0.778300989	35344	21056	2302.1350483567	2058.7660728744	5402.2905979305	1881.4185644429	889.2035486467	206.4	60.2	3.2	0.4974707949	25	20	352.6319854106	282.1654285092	875.8703117081	175.4935095435	148.619199956	8.0989010989	1.8901098901	1.9450549451	0.6979553571	8281	2639	564.5900521721	490.1677593294	1094.5916888731	419.2957416081	213.2588222025	6.0485436893	1.7475728155	2.1553398058	0.6135165813	10609	3605	1680.6777066227	2416.4399402206	4802.4267532636	2089.7689137169	646.9831752207	106.28125	29.71875	3.4583333333	0.5456540845	9216	2400
125	205	80.2117071562	625.5265096945	696.8489217373	591.1229350493	1.6294084989	1.6666666667	1.1666666667	1	1	576	480	80.2117071562	625.5265096945	696.8489217373	591.1229350493	1.6294084989	1.6666666667	1.1666666667	1	1	576	480	1709.7322305468	1422.1514159807	3519.3325602468	978.8472285077	466.8471948831	7.625	4.75	1.75	0.8556206871	64	56	972.8369863859	805.5096810923	2594.2446991437	483.8652468223	386.5945068695	14.6964285714	5.6607142857	2.5178571429	0.5130478752	3136	1120	352.6319854106	282.1654285092	875.8703117081	175.4935095435	148.619199956	8.0989010989	1.8901098901	1.9450549451	0.6979553571	8281	2639	1840.0166453981	1266.0526373974	3547.0788681038	968.7749298495	566.6911869074	252.25	69.75	2.75	0.8211723938	16	12
126	206	3086.3377578092	2046.9721241258	4275.9597992186	2265.314039459	361.5885015775	6	4.5	2.5	0.52	4	4	3086.3377578092	2046.9721241258	4275.9597992186	2265.314039459	361.5885015775	6	4.5	2.5	0.52	4	4	2577.1814313853	2655.0239116822	6525.9108479987	2406.9271503751	1024.5285951183	204.3333333333	77	3.5333333333	0.7069397909	225	165	503.8317341738	380.3466274625	1026.6790676877	237.2740843745	92.794103336	5.4489795918	1.9795918367	1.7755102041	0.6466403208	2401	980	1065.8416059357	952.3371733896	2760.2253120584	651.6291117956	407.6804294777	14.4310344828	5.6379310345	2.4827586207	0.524282189	3364	1276	2083.7681051321	2034.1357432904	4448.1397871048	2470.8195739568	723.0787096887	10	7	3	0.54	1	1
