Index	HEX_600	04_HEX_weighted_average_distance	04_HEX_weighted_mean_home_distance	04_HEX_weighted_max_home_distance	04_HEX_weighted_median_home_distance	04_HEX_weighted_radius_of_gyration	04_HEX_weighted_num_reporting_2015	04_HEX_weighted_HEX_coverage	04_HEX_weighted_subject_coverage	04_HEX_weighted_subject_hhi	04_HEX_total_reporting	04_HEX_total_user	user_type	reporting_level
51	103	2046.2903383434	2114.9279102158	4876.5004716395	1847.4622151624	723.4044525083	20.5	5.0263157895	2.8157894737	0.429251097	5776	3496	1	2
52	104	1286.0702083745	1160.9764065037	2694.8160144576	935.2409499137	372.8643114552	10.4210526316	4.3157894737	2.1578947368	0.69059523	1444	684	1	2
53	114	266.8127717442	810.0598370231	1017.6725780851	837.3533110103	63.3428431822	7.6666666667	3.3333333333	1.7333333333	0.8121212475	225	90	1	2
54	115	278.4301120959	182.1345126269	441.6243087844	75.5181512809	10.43459509	9.1549295775	1.3943661972	2.1830985915	0.6879275175	5041	1207	1	2
55	116	551.9628407939	1204.4896518626	1800.3269440915	1038.9286120986	87.6925944173	6.0862068966	2.5172413793	1.8793103448	0.6903149884	3364	1160	1	2
56	117	882.2056554648	944.1231252597	1648.403188943	895.3863291393	58.0729254698	6.1818181818	2.3181818182	1.6818181818	0.785993592	484	220	1	2
57	118	403.9892109685	390.2138597579	874.0540643712	313.1649489208	120.976313046	5.5573770492	1.8032786885	1.6885245902	0.713325718	3721	1220	1	2
58	119	623.9746347694	576.7528835194	1236.8096382746	489.5169468208	228.567837897	11.0615384615	3.9076923077	2.6307692308	0.6144315763	4225	1365	1	2
59	120	160.1292033184	224.007891969	349.361784071	226.8124986963	52.5466537193	7.3846153846	2.3846153846	1.641025641	0.8156997285	1521	546	1	2
60	121	970.5599094689	2615.6615284001	3746.3292237516	2453.1751574755	575.0886692962	19.8918918919	3.0810810811	2.5540540541	0.5694909261	5476	1184	1	2
61	122	739.4330591158	1396.0893489329	2263.9762861535	1352.784031457	265.8294139893	11.7142857143	5.8571428571	2.2857142857	0.7343074351	49	35	1	2
62	124	4272.2930217015	3876.3224290151	7700.6762932504	4204.3125612273	1119.3714180039	25.75	19.5	3.5	0.4533695954	16	16	1	2
63	128	347.5707744494	259.1624659135	860.6426862398	178.2917371746	165.6649883267	15.7307692308	3.1538461538	2.75	0.5709675921	2704	884	1	2
64	129	282.8175008914	296.2044952581	669.0617328432	264.9747767727	88.8789764043	14.7289719626	2.1962616822	2.3457943925	0.6362495715	11449	3424	1	2
65	130	724.9924463084	718.057360811	1715.639740477	712.0400830562	170.4567295168	9.6538461538	2.6794871795	1.9615384615	0.7120247357	6084	2184	1	2
66	131	335.1458497027	680.7102170904	1039.3171901088	695.8441497848	124.5459801046	6.5666666667	2.1666666667	1.8	0.5946411023	900	390	1	2
67	132	1819.4827636396	1937.0373622588	4643.8334012251	1665.32100753	703.4125266778	31.3888888889	7.0555555556	2.9814814815	0.4371428739	2916	1242	1	2
68	133	2380.4921287813	1922.581930486	4836.7747313315	1528.6115549871	780.9820650019	14.5	3.6111111111	2.7777777778	0.4382507994	324	234	1	2
