Index	HEX_600	03_HEX_weighted_average_distance	03_HEX_weighted_mean_home_distance	03_HEX_weighted_max_home_distance	03_HEX_weighted_median_home_distance	03_HEX_weighted_radius_of_gyration	03_HEX_weighted_num_reporting_2015	03_HEX_weighted_HEX_coverage	03_HEX_weighted_subject_coverage	03_HEX_weighted_subject_hhi	03_HEX_total_reporting	03_HEX_total_user	user_type	reporting_level
16	32	305.7647322569	629.2600467152	912.2414308496	622.2348392297	76.5856769972	7.4768518519	4.25	1.3657407407	0.8562447307	46656	33480	3	1
17	33	898.2775979839	2403.9262533262	2996.8682795353	2549.1295195173	349.8146587406	4.4	2.8	1.5142857143	0.8644897914	1225	805	3	1
18	34	5594.5584576196	4216.1803236177	12642.073546081	3148.6736561857	2331.7242713672	328	119	5.5	0.3646867008	16	16	3	1
19	36	270.279666481	233.0393406085	507.1183152647	211.8745173207	68.3443927726	15.4100946372	4.3848580442	1.7003154574	0.8545588225	100489	60547	3	1
20	37	307.5738769612	342.7452554798	659.1041867666	309.3991037477	66.4004516438	12.6984732824	4.7900763359	1.3778625954	0.8647771804	68644	50042	3	1
21	38	972.6558004539	833.9631294239	2047.4071065038	769.9469845119	382.9727700001	72.8068181818	23.2954545455	2.1818181818	0.7697115651	7744	4928	3	1
22	39	573.3468366464	576.4758139944	1200.9677025216	495.1453924939	154.9842932466	25.5157894737	8.3578947368	1.5263157895	0.8221247805	9025	6460	3	1
23	40	797.1372206916	613.963455682	1304.695807467	551.7273507888	157.360367948	10.5526315789	6.5	1.5	0.8090456787	1444	1102	3	1
24	42	5.4687654812	37.9228297335	39.2070306677	37.9228297335	1.6286506714369155e-06	1.5625	1	1.1875	0.8697916667	256	208	3	1
25	46	793.3576954583	836.9214903475	1677.6433436587	729.8886365334	227.7078530033	30.0681818182	12.0113636364	1.6875	0.8085634936	30976	20416	3	1
26	47	429.4196303896	481.6483917268	896.5246285756	416.0685275989	91.1482239022	13.5833333333	4.5357142857	1.4976190476	0.8278230488	176400	111300	3	1
27	48	718.4616506332	1528.6772601153	2257.1746513921	1511.9775196865	267.7781777628	27.4901960784	9.9411764706	1.5490196078	0.8765980793	2601	1989	3	1
28	49	638.684715123	564.5693606669	865.8264656188	564.5693606669	0.0001360362	1.5714285714	1.2857142857	1.5714285714	0.7142857143	49	42	3	1
29	50	845.2512358392	670.8750612859	1478.2507937785	652.2999096057	232.7301148465	48.4533333333	14.16	2.2266666667	0.7526522891	5625	3525	3	1
30	51	400.884749581	454.3204416008	911.5824720404	418.9413302002	119.9132524174	23.5799522673	6.0811455847	1.8233890215	0.8396644177	175561	95951	3	1
31	52	439.7878780165	589.1404774245	1062.9832235922	530.9249828752	85.8247104673	22.7313432836	7.0149253731	1.552238806	0.8731267584	4489	3350	3	1
32	58	0	91.6433611167	91.6433611167	91.6433611167	0	1	1	1	1	1	1	3	1
33	61	563.7150956091	862.7803845766	1476.0234937516	870.9555793196	199.3642135761	26.7222222222	9.7592592593	1.5	0.8167382672	2916	2214	3	1
34	62	1366.4936900283	1042.7950972407	2633.3311539826	917.4087037641	385.9736751298	19.0465116279	11.0930232558	2.0697674419	0.6678426441	1849	1290	3	1
35	64	784.7865157358	1147.567269904	1804.4619078778	1047.9017930491	92.8240822401	43.625	12.4166666667	1.5416666667	0.8544546582	576	384	3	1
36	65	426.9420283907	565.8248686734	1443.5918964906	509.0107710696	192.2942510351	42.5882352941	10.4055727554	2.386996904	0.6964137196	104329	55879	3	1
37	66	241.9344823983	309.221866935	747.0994913657	262.4379122246	82.3682017618	11.2116788321	3.1386861314	1.8467153285	0.7598543695	18769	11645	3	1
38	72	947.9312043195	898.9954019685	2047.5156754444	858.1454037445	410.0899891037	17.4545454545	12.0909090909	1.1818181818	0.9789079785	121	110	3	1
39	73	348.639129785	513.15688322	1003.3195464703	486.2461079524	119.4569853313	11.3513513514	6.9189189189	1.4324324324	0.9041074404	1369	1073	3	1
40	74	929.2202199667	1682.824995687	2833.5033092708	1662.969193412	368.8875041707	101.8695652174	31.5652173913	2.2173913043	0.8165863989	529	322	3	1
41	75	2045.6320609935	3211.89391568	5907.3640829522	3027.5660565759	747.4934699142	70	43.6666666667	2.8333333333	0.6656525846	36	36	3	1
42	76	3954.3627759224	3647.1977730804	8718.0478565749	3286.7052398863	1526.5306896503	380.3333333333	127	5	0.5617490199	9	9	3	1
43	77	2246.3314163	2767.0127128998	7639.0492880926	2246.3362295434	782.3272905507	27.5714285714	13.2857142857	2.5714285714	0.6149584488	49	21	3	1
44	78	642.1535887752	725.2979545954	1483.8353411949	674.7543605294	183.4058303225	36.3291139241	13.0506329114	1.6329113924	0.8296995419	6241	4266	3	1
45	79	1230.8685856447	1326.2956712572	2712.6217557967	1343.9240461009	388.4542634472	100.5085714286	29.8914285714	2.3371428571	0.7029325929	30625	17850	3	1
46	80	474.8808637399	449.4435030903	954.0813547056	395.5513218338	130.6764984265	14.8539325843	5.5842696629	1.6645264848	0.7796369629	388129	251069	3	1
47	81	0	141.2544704823	141.2544704823	141.2544704823	0	1	1	1	1	9	9	3	1
