	HEX_600	HEX_weighted_average_distance	HEX_weighted_mean_home_distance	HEX_weighted_max_home_distance	HEX_weighted_median_home_distance	HEX_weighted_radius_of_gyration	HEX_weighted_num_reporting_2015	HEX_weighted_HEX_coverage	HEX_weighted_subject_coverage	HEX_weighted_subject_hhi	HEX_total_reporting	HEX_total_user	HEX_normalized_total_311_per_100	HEX_num_311_including_government_users	HEX_total_population	HEX_income_below_poverty	HEX_below_poverty_unemployed	HEX_above_poverty_unemployed	HEX_total_housing_units	HEX_Owner_occupied_housing_units	HEX_Renter_occupied_housing_units	HEX_less_than_bacholar	HEX_estimate_total_for_degree	HEX_White_population	HEX_Black_or_African_American_population	HEX_American_Indian_and_Alaska_Native_population	HEX_Asian_population	HEX_Native_Hawaiian_and_Other_Pacific_Islander_population	HEX_Some_other_race_population	HEX_Mean_travel_time_to_work_minutes	HEX_Foreign_born_population	HEX_Citizen_population	HEX_obrien.IndividualNeeds	HEX_obrien.PublicNeeds	HEX_minkoff.CausedByHumanBehavior	HEX_minkoff.CausedByUsage	HEX_wheeler.Detritus	HEX_wheeler.Infrastructure	HEX_600_coverage_in_HEX	HEX_income_below_poverty_percentage	HEX_renter_occupied_housing_units_percentage	HEX_below_poverty_unemployed_percentage	HEX_above_poverty_unemployed_percentage	HEX_less_than_bacholar_percentage	poverty_index	HEX_Foreign_born_population_percentage	HEX_Citizen_population_percentage	HEX_White_population_percentage	HEX_Black_or_African_American_population_percentage	HEX_American_Indian_and_Alaska_Native_population_percentage	HEX_Some_other_race_population_percentage	user_type	frequency
	39	573.3468366464	576.4758139944	1200.9677025216	495.1453924939	154.9842932466	25.5157894737	8.3578947368	1.5263157895	0.1778752195	9025	6460	95.10546997	690	725.5103205	92.75486764	15.97042937	32.95178192	273.1826512	87.87127802	185.3113732	416.5306456	507.7904733	622.6740863	137.0377434	23.28570144	18.2341127	1.723494733	68.3561404	30.4952978954	235.2074966	582.0877596	78	514	25	317	77	221	4.046511628	-0.1008755622	0.4387801261	0.4522851454	1.1013877145	1.3162461836	0.5982442841	0.3241959349	0.8023149267	0.8582566901	0.188884623	0.0320956171	0.0942180124	all	all
	40	797.1372206916	613.963455682	1304.695807467	551.7273507888	157.360367948	10.5526315789	6.5	1.5	0.1909543213	1444	1102	31.78150488	198	623.0038531	87.26186694	13.38609291	25.99508261	240.4422942	80.03145391	160.4108403	352.0625858	442.9885363	527.1767104	99.68215878	18.04510836	19.42954389	0.84918157	55.74411762	30.5503633081	189.4770922	507.6711928	26	137	9	93	19	65	1.892857143	0.0554438634	0.3843630472	0.4073739885	0.846407092	1.2547194392	0.6305986323	0.3041347036	0.8148764896	0.8461853129	0.1600024756	0.0289646818	0.0894763609	all	all
	42	5.4687654812	37.9228297335	39.2070306677	37.9228297335	1.62865067143692e-06	1.5625	1	1.1875	0.1302083333	256	208	59.85653062	95	158.7128406	27.66492357	2.177714485	4.55588327	58.73353647	22.78903486	35.94450161	85.78747863	117.63909	134.986938	27.40681515	0	11.88895335	0	6.482777251	34.1740685317	70.54370812	101.428564	18	73	2	48	9	24	1.892857143	0.4935179863	0.1162187183	-0.2552517728	-0.0524740803	1.0869463468	0.370160372	0.4444738551	0.6390696784	0.8505105037	0.1726817758	0	0.0408459531	all	all
	46	793.3576954583	836.9214903475	1677.6433436587	729.8886365334	227.7078530033	30.0681818182	12.0113636364	1.6875	0.1914365064	30976	20416	60.21018056	1117	1855.167996	190.6014691	31.85937447	58.33032047	868.0788826	338.7410035	529.3378791	617.3139922	1369.783193	1499.274535	81.70404044	0.877392831	198.1025311	0	89.94206659	31.7013080218	237.4399225	1723.29537	130	824	30	450	149	275	7.541899441	-0.4220834003	0.1054652143	0.0393320504	0.1364725877	-0.3308999769	-0.2179351664	0.1279883671	0.9289160732	0.8081610605	0.0440413163	0.0004729452	0.0484818986	all	all
	47	429.4196303896	481.6483917268	896.5246285756	416.0685275989	91.1482239022	13.5833333333	4.5357142857	1.4976190476	0.1721769512	176400	111300	67.31071834	2009	2984.665815	292.883566	44.37444702	61.4775523	1320.464284	623.0111777	697.453106	721.5189946	2175.783455	2381.485312	372.6505453	4.255791018	170.3032869	0	148.1278331	29.6985250925	478.0980135	2780.010603	308	1510	28	828	330	448	3.346784363	-0.4810794832	-0.2912030093	-0.157429172	-0.6121878587	-0.951985142	-0.665231428	0.1601847721	0.9314311133	0.7979068544	0.1248550318	0.0014258853	0.049629621	all	all
	48	718.4616506332	1528.6772601153	2257.1746513921	1511.9775196865	267.7781777628	27.4901960784	9.9411764706	1.5490196078	0.1234019207	2601	1989	27.04188265	370	1368.247932	253.3245273	24.38812245	43.25791352	579.7488012	172.6917352	407.0570659	496.1224888	893.4651575	766.1589144	377.3380563	2.553799522	145.9164506	0	157.6889389	31.8410713132	387.8546631	1198.413619	55	244	6	143	32	114	8.746031746	0.6321640772	0.5544081771	0.0948860996	0.1484493902	-0.1272427933	0.73795695	0.2834681157	0.8758746065	0.5599562013	0.2757819307	0.0018664742	0.1152488048	all	all
	49	638.684715123	564.5693606669	865.8264656188	564.5693606669	0.0001360362	1.5714285714	1.2857142857	1.5714285714	0.2857142857	49	42	28.35056756	42	148.1451823	31.95713547	2.096735133	2.241337556	77.07309143	21.47345981	55.59963162	55.34657738	111.0546608	79.82053746	34.45152726	0.723012115	25.8476831	0	10.33907324	31.1	45.87511868	126.9609273	8	26	0	19	2	9	1.4375	1.0232613011	0.6480500019	-0.2183758224	-0.9897169604	-0.0521765414	0.8731872998	0.3096632504	0.857003416	0.5387994143	0.2325524646	0.0048804295	0.0697901415	all	all
	50	845.2512358392	670.8750612859	1478.2507937785	652.2999096057	232.7301148465	48.4533333333	14.16	2.2266666667	0.2473477109	5625	3525	32.21305577	461	1431.096768	204.2860401	26.9405845	50.27703537	508.2153326	89.76293731	418.4523953	831.3730165	977.6916428	1224.064746	433.5352178	7.703627988	67.0066022	2.979816245	87.3017593	32.5046354288	827.4521216	775.0253111	45	315	23	174	83	120	6.416666667	0.0897505204	1.1438681385	0.1802851578	0.3912035774	1.3627414717	0.9806369863	0.5781943892	0.5415603811	0.8553333173	0.3029391356	0.0053830238	0.0610033935	all	all
	51	400.884749581	454.3204416008	911.5824720404	418.9413302002	119.9132524174	23.5799522673	6.0811455847	1.8233890215	0.1603355823	175561	95951	31.24920894	1942	6214.557314	817.9809364	147.7233356	211.3144693	1896.461687	383.3994613	1513.062226	3520.3514	4227.401798	5672.20012	2286.931666	36.67627929	116.0862565	36.46906744	412.2390759	34.1727590437	4030.607811	2931.897517	330	1295	62	824	380	459	7.241017964	-0.0525720259	1.0196953294	0.6022857246	0.3132824206	1.2640248366	1.0343233703	0.6485752094	0.471778981	0.912727944	0.3679959087	0.0059016721	0.0663344234	all	all
	52	439.7878780165	589.1404774245	1062.9832235922	530.9249828752	85.8247104673	22.7313432836	7.0149253731	1.552238806	0.1268732416	4489	3350	15.73632025	365	2319.47491	333.1594435	61.15454804	62.08629671	692.8813445	147.2317964	545.6495481	1296.305393	1566.694422	2145.224749	897.081085	15.26989952	33.18502365	19.86690138	160.8177004	33.8120042791	1507.70735	1118.28807	63	245	12	176	90	98	10.46078431	0.1011090557	0.9694930855	0.8237352002	-0.1862550502	1.2122305859	1.2103027928	0.6500209782	0.4821298412	0.9248751688	0.3867604177	0.0065833433	0.0693336667	all	all
	58	0	91.6433611167	91.6433611167	91.6433611167	211.2673995901	1	1	1	0	1	1	10.39908247	32	307.7194558	45.11070646	7.567455771	10.23520643	108.9321325	25.84926229	83.08287017	107.0023274	204.056853	206.8207514	16.06463975	0.480004716	49.87385528	0	40.98121502	26.8896176614	76.90847152	264.30278	2	26	10	9	1	16	25.8	0.1389927024	0.848903143	0.6723883819	0.2620804684	-0.2287194002	0.9004474662	0.2499304807	0.8589082524	0.672108141	0.052205473	0.0015598777	0.1331771984	all	all
	61	563.7150956091	862.7803845766	1476.0234937516	870.9555793196	199.3642135761	26.7222222222	9.7592592593	1.5	0.1832617328	2916	2214	25.91021398	375	1447.305685	130.9534812	23.6402697	35.88505515	693.4418721	257.5623638	435.8795083	390.6892062	1115.254752	1189.802327	48.23385941	2.179933033	153.647036	0	67.76855922	27.6222990129	208.0526661	1339.91917	35	287	7	134	31	154	10.53333333	-0.578932004	0.1968287658	-0.0322891133	-0.3224664283	-0.759538669	-0.3536790785	0.1437517093	0.9258024645	0.8220808771	0.0333266565	0.0015062008	0.0468239432	all	all
	62	1366.4936900283	1042.7950972407	2633.3311539826	917.4087037641	385.9736751298	19.0465116279	11.0930232558	2.0697674419	0.3321573559	1849	1290	24.82414349	350	1409.917729	147.3722185	4.654769231	17.78889235	802.8247139	235.5118039	567.31291	220.8228455	1181.078931	1328.505465	20.03318827	0.9601676	59.91801991	0	10.24602043	26.1556337872	158.3727796	1342.435183	20	269	17	115	47	121	11.21153846	-0.3992521048	0.5763795672	-1.1443805824	-1.1631638117	-1.5328698897	-0.7156676812	0.1123276744	0.9521372456	0.9422574365	0.014208764	0.0006810097	0.0072671052	all	all
	64	784.7865157358	1147.567269904	1804.4619078778	1047.9017930491	92.8240822401	43.625	12.4166666667	1.5416666667	0.1455453418	576	384	59.30726754	169	284.9566453	72.50297464	7.582879917	3.325824525	133.6981459	14.10149599	119.5966499	169.2179518	192.2326575	216.976792	65.31919367	1.862461734	23.28077167	2.128527696	19.55584821	26.6	121.4591116	207.3984174	30	104	3	49	31	37	6.20754717	1.5186305257	1.4897727385	0.8446379262	-1.2284481414	1.450797024	2.4146359524	0.4262371613	0.7278244632	0.7614379085	0.2292250233	0.0065359477	0.068627451	all	all
	65	426.9420283907	565.8248686734	1443.5918964905	509.0107710696	192.2942510351	42.5882352941	10.4055727554	2.386996904	0.3035862804	104329	55879	42.44266635	1658	3906.446373	464.4749185	85.19124047	210.6133674	1479.524696	317.9778939	1161.546803	2237.633212	2872.640739	3445.525962	772.0984529	61.73357109	79.91604386	1.677398337	267.7333416	31.609763449	2185.08424	2051.635889	270	1115	53	681	320	366	8.937062937	-0.2153545589	0.9576947437	0.4348072331	1.6878985328	1.3072681971	0.8159706904	0.5593534459	0.5251923854	0.8820103063	0.1976472679	0.0158029998	0.06853629	all	all
	66	241.9344823983	309.221866935	747.0994913657	262.4379122246	82.3682017618	11.2116788321	3.1386861314	1.8467153285	0.2401456305	18769	11645	24.752169	579	2339.188942	291.5385327	33.29643968	78.13328679	756.0747197	224.4946819	531.5800377	1317.037399	1586.426843	2204.43677	489.2606805	9.168095715	42.13673539	1.017396832	53.94045516	30.3982143632	1289.384156	1322.480476	101	367	18	234	137	120	6.915841584	-0.1420126051	0.559036801	-0.2114694075	0.2717722606	1.2405704569	0.279791857	0.5512099227	0.5653585532	0.942393635	0.2091582564	0.0039193481	0.0230594691	all	all
	72	947.9312043195	898.9954019685	2047.5156754444	858.1454037445	410.0899891037	17.4545454545	12.0909090909	1.1818181818	0.0210920215	121	110	47.97411034	87	181.3478132	29.54126731	5.335212156	7.360616771	74.19896906	18.52504221	55.67392685	75.5327721	135.4551086	118.8566708	8.842620148	0.345800788	28.00986382	0	28.15806416	28.6	44.50950142	158.0803602	11	54	4	14	9	34	13.27586207	0.3475477371	0.7887650501	1.0843465833	0.7679114836	0.2406573492	1.271718184	0.2454372106	0.8716970853	0.6554072459	0.0487605557	0.0019068374	0.1552710433	all	all
	73	348.639129785	513.15688322	1003.3195464703	486.2461079524	119.4569853313	11.3513513514	6.9189189189	1.4324324324	0.0958925596	1369	1073	61.12958168	231	377.8857857	61.55698715	11.11731541	15.33777773	154.6130346	38.6017896	116.011245	157.3923635	282.2562856	247.6690821	18.4259209	0.720566739	58.36590588	0	58.67472019	28.6	92.74723315	329.4019379	43	163	3	84	35	81	5.209302326	0.3475477368	0.78876505	1.0843465843	0.7679114825	0.2406573496	1.2717181844	0.2454372106	0.8716970851	0.655407246	0.0487605557	0.0019068374	0.1552710433	all	all
	74	929.2202199667	1682.824995687	2833.5033092708	1662.969193412	368.8875041707	101.8695652174	31.5652173913	2.2173913043	0.1834136011	529	322	12.90336921	149	1154.737166	211.0296354	25.26231406	27.95488833	359.9021732	68.4951212	291.407052	315.4614596	652.8226623	791.5902189	76.55489937	4.067549081	193.050122	0	142.9332118	28.4380277302	316.0792435	955.1035883	20	110	24	59	6	47	6.4	0.6015366858	1.0773033294	0.4407165142	-0.3628885362	-0.7373834736	1.1257329073	0.2737239718	0.8271177342	0.6855154941	0.0662963847	0.0035224891	0.1237798661	all	all
	75	2045.6320609935	3211.89391568	5907.3640829522	3027.5660565759	747.4934699142	70	43.6666666667	2.8333333333	0.3343474154	36	36	2.804010054	47	1676.17088	149.1796969	8.211500833	4.031457793	212.5258236	11.94272479	200.5830988	100.7645197	521.8037694	1242.080411	115.0600851	0.952568618	324.0501504	0	73.15994585	20.4056320087	456.6486676	1344.137753	4	38	10	16	4	28	12.11111111	-0.5978739442	1.7293418563	-1.0080614234	-1.8681611501	-2.1914437666	-0.186056012	0.2724356288	0.8019097391	0.7410225448	0.0686446033	0.0005683004	0.0436470689	all	all
